trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",30,0,-99.43619371354164,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",20,0,-43.62998427727163,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",25,9,-50.537085883393935,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",25,0,-57.43801640073164,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",20,0,-77.54380669300878,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",25,0,-100.93824923310117,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",30,0,-133.9945484172302,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",25,0,-8.067158541214036,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",20,0,-29.81653456230434,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",20,0,-88.18949058656383,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",25,0,-10.31936015017157,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",25,0,6.497741993367264,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",25,0,18.60275044319139,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",20,0,-87.27678572033582,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",20,0,-11.216913451049528,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",25,13,-0.9839690436142567,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",25,5,-1.6372669803511313,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",20,4,5.54275666375182,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",25,3,22.817900705406867,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",30,9,26.568374349902896,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.3, 'e': 0}",25,17,15.858058703805842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.3, 'e': 0}",30,8,26.910460388590707,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.3, 'e': 0}",25,12,21.783096164698367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.3, 'e': 0}",25,13,-0.11611844978963015,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.3, 'e': 0}",30,18,20.67691720611095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.3, 'e': 0}",25,0,11.430533288509373,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.3, 'e': 0}",25,9,30.573299392199793,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.3, 'e': 0}",20,15,11.984600608167503,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.3, 'e': 0}",25,8,30.745733417090694,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.3, 'e': 0}",20,13,14.770199521107585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
