trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9048374180359595}",20,0,-153.4736423937428,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.8607079764250578}",25,0,-175.10041053606844,"{0: 9, 1: 4, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.8187307530779818}",25,0,-120.18442613101055,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.7788007830714049}",20,0,-8.91485340868458,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.7408182206817179}",30,0,-52.45344691425974,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.7046880897187134}",20,0,-65.57834968150183,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.6703200460356393}",25,0,-77.25299240292047,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.6376281516217733}",25,0,-29.33800696627638,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-30.38824773391456,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.5769498103804866}",20,10,13.075935769325682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.5488116360940264}",20,0,-5.289682626533541,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.522045776761016}",20,0,6.53410521131425,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.49658530379140947}",20,0,-35.99478177875998,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.4723665527410147}",20,7,-49.52149601276751,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.44932896411722156}",20,0,-64.5863488814902,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.42741493194872665}",20,13,-71.61299891459656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.7, 'e': 0.4065696597405991}",25,2,-57.31916501026143,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.3867410234545012}",25,13,17.561082231622578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,0,-82.8461794472357,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,2,-93.71197252918999,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 1}",1
21,False,"{'a': 0.7, 'e': 0.33287108369807955}",20,0,-52.623741210529516,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.31663676937905316}",20,3,-25.34213395831308,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.301194211912202}",25,9,9.686672799789037,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.2865047968601901}",30,13,-34.58165379493261,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.2725317930340126}",25,0,32.00066977321777,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.2592402606458915}",25,0,-50.51006891910285,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.24659696394160643}",25,2,-61.431878842707654,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
28,False,"{'a': 0.7, 'e': 0.23457028809379762}",30,21,14.470599224031734,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,0,26.36486299154876,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.21224797382674304}",30,0,-12.180406001794845,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.20189651799465538}",20,4,-3.8675000595157547,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.19204990862075408}",20,6,26.474154782169286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.1826835240527346}",20,0,18.237742131241767,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.17377394345044514}",25,0,-52.021792001953564,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.16529888822158653}",25,8,28.405375480497767,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.1572371663136276}",20,2,26.531711189736562,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.14956861922263504}",30,9,2.800922337245791,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.14227407158651353}",25,6,4.534466197635306,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.1353352832366127}",25,6,-10.340373649350717,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.12873490358780418}",20,6,15.682172348040885,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.1224564282529819}",30,10,11.220226957187972,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.11648415777349697}",30,24,9.122840850047014,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.11080315836233387}",25,11,1.246314835598471,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.10539922456186433}",25,14,-15.195094726144426,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.1002588437228037}",25,8,18.591966623370183,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.09536916221554961}",35,18,18.104838555282694,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.09071795328941247}",25,11,0.10571356148503086,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.0862935864993705}",35,20,31.809168172007467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.0820849986238988}",20,12,15.798977565691608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.07808166600115313}",30,10,33.1340346661234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.07427357821433388}",25,8,29.684687989547285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.07065121306042957}",25,11,24.05221511076618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.06720551273974976}",25,16,14.919102350190016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.06392786120670757}",20,6,23.92564001447256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.06081006262521795}",20,10,21.84980212753655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.057844320874838456}",25,14,10.868485633832936,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.05502322005640721}",20,10,20.33584228085643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.05233970594843238}",20,12,12.443316919679122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.049787068367863944}",20,14,10.462775410900754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.7, 'e': 0}",20,12,16.847959981592293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.7, 'e': 0}",25,17,14.077397412385098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.7, 'e': 0}",35,23,25.319089533573752,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.7, 'e': 0}",20,10,17.670523380556446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.7, 'e': 0}",25,4,37.59606009387866,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.7, 'e': 0}",20,9,22.758665821511496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.7, 'e': 0}",20,13,12.58175363786417,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.7, 'e': 0}",25,18,14.336366747322085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.7, 'e': 0}",35,14,44.843468176900785,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.7, 'e': 0}",20,4,28.400618997741095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
