trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': -0.01}",25,-4,-43.862573794610284,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': -0.01}",20,-38,-268.17422159192745,"{0: 38, 1: 2, 2: 11, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': -0.01}",20,12,0.8621683770738597,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': -0.01}",20,-92,-508.7086371303304,"{0: 69, 1: 13, 2: 19, 3: 4, 4: 7}",0
5,False,"{'a': 0.5, 'e': -0.01}",20,-100,-610.0138850157882,"{0: 73, 1: 11, 2: 24, 3: 3, 4: 9}",0
6,False,"{'a': 0.5, 'e': -0.01}",25,-42,-404.08564465495135,"{0: 38, 1: 7, 2: 13, 3: 3, 4: 6}",0
7,False,"{'a': 0.5, 'e': -0.01}",20,-45,-366.1971765012152,"{0: 43, 1: 1, 2: 12, 3: 3, 4: 6}",0
8,False,"{'a': 0.5, 'e': -0.01}",20,-97,-387.90796784616106,"{0: 77, 1: 9, 2: 22, 3: 6, 4: 3}",0
9,False,"{'a': 0.5, 'e': -0.01}",20,-100,-699.8006601095233,"{0: 69, 1: 14, 2: 23, 3: 3, 4: 11}",0
10,False,"{'a': 0.5, 'e': -0.01}",20,-100,-562.4650677254167,"{0: 71, 1: 15, 2: 21, 3: 7, 4: 6}",0
11,False,"{'a': 0.5, 'e': -0.01}",20,2,-63.20887989054034,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': -0.01}",20,-2,-82.19557818447733,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': -0.01}",20,-9,-121.37860063799295,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': -0.01}",30,-100,-433.75314830692156,"{0: 84, 1: 15, 2: 20, 3: 8, 4: 3}",0
15,False,"{'a': 0.5, 'e': -0.01}",30,-100,-815.9906582208985,"{0: 79, 1: 9, 2: 21, 3: 9, 4: 12}",0
16,False,"{'a': 0.5, 'e': -0.01}",20,-29,-267.6774541517297,"{0: 29, 1: 4, 2: 9, 3: 4, 4: 3}",0
17,False,"{'a': 0.5, 'e': -0.01}",25,-30,-244.2722471913878,"{0: 32, 1: 6, 2: 12, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': -0.01}",25,-4,-110.63332889908884,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': -0.01}",20,-79,-609.8021445970197,"{0: 55, 1: 9, 2: 20, 3: 8, 4: 7}",0
20,False,"{'a': 0.5, 'e': -0.01}",25,12,-106.85530361323659,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 0}",25,-100,-758.5908688840588,"{0: 77, 1: 4, 2: 27, 3: 5, 4: 12}",0
2,True,"{'a': 0.5, 'e': 0}",25,2,-26.65172847447371,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0}",20,-25,-134.12335052186017,"{0: 31, 1: 6, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0}",25,-97,-542.752090837728,"{0: 73, 1: 13, 2: 27, 3: 3, 4: 6}",0
5,True,"{'a': 0.5, 'e': 0}",20,-100,-727.2699874067632,"{0: 68, 1: 15, 2: 21, 3: 5, 4: 11}",0
6,True,"{'a': 0.5, 'e': 0}",20,11,-69.49099415025901,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 0}",25,-62,-381.03342635748703,"{0: 53, 1: 14, 2: 12, 3: 3, 4: 5}",0
8,True,"{'a': 0.5, 'e': 0}",20,-8,-201.52959639622696,"{0: 12, 1: 3, 2: 9, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0}",25,-1,-78.96639458498034,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 0}",25,3,-76.9355356189771,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
